text,favorite_count,date_creation,retweet_count
@JonErlichman WALL-E has decent runway,5877,2023-04-25,220
"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",5324,2023-04-25,382
"Censor not, lest ye be censored",154171,2023-04-25,16140
"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",47645,2023-04-25,8425
"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",10325,2023-04-25,484
"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",5787,2023-04-24,377
Or maybe just X https://t.co/5nCtYbrPfN,61031,2023-04-24,6182
@SawyerMerritt @SpaceX @Tesla Yay!,5041,2023-04-24,239
@all_in_tok @DavidSacks @theallinpod Wow,1739,2023-04-24,109
@ispace_inc Stream on Twitter too!,3029,2023-04-25,285
@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,7216,2023-04-25,637
@stillgray Really? 🤔,11165,2023-04-25,978
@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,7665,2023-04-25,1255
@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,2246,2023-04-25,107
"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",8426,2023-04-25,2317
@zerohedge !,2571,2023-04-25,256
@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,27735,2023-04-25,3680
"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",13142,2023-04-25,2197
"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",18042,2023-04-25,2549
@RobertKennedyJr You and other candidates deserve that opportunity!,33600,2023-04-25,2345
@TheBabylonBee 🤣,3112,2023-04-25,163
@tegmark Exactly,1609,2023-04-25,138
@cenkuygur Wow,11683,2023-04-25,629
"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",17594,2023-04-25,1817
@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,4355,2023-04-25,365
@eldsjal @Spotify Congrats!,2077,2023-04-25,152
@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,6840,2023-04-25,1002
@alvinfoo Midjourney,4059,2023-04-25,205
"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",33043,2023-04-25,4909
@CNNPR Interesting,3820,2023-04-25,223
@krassenstein Great points!,1716,2023-04-25,125
Verified accounts are now prioritized,223286,2023-04-25,15330
@johnhackerla That meme rings a bell,6078,2023-04-25,427
"Sometimes, when you learn about something, you think you have it",81291,2023-04-25,8154
@farzyness It’s been a while since had to intervene. 11.4 is good.,3651,2023-04-25,259
@SmashMemez @alx 🎯,2288,2023-04-25,133
"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",26559,2023-04-25,1772
@shaunmmaguire Ask GPT-whatever,3558,2023-04-25,202
@farzyness Our meat computers are so slow 😔,3895,2023-04-25,271
The collective mind that is this platform needs more signal &amp; less noise,86068,2023-04-25,7994
@farzyness Collective consciousness,8768,2023-04-25,767
@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),2630,2023-04-25,124
@EdKrassen Are you ever critical of someone on the left?,160554,2023-04-25,9047
"@MuskUniversity Can’t shrink humans, so need big rocket",8444,2023-04-25,620
https://t.co/RRFH30OOvt,287836,2023-04-25,26832
@RampCapitalLLC 💯,2051,2023-04-25,113
@cameron Exactly,6960,2023-04-25,350
@GRDecter We’re running out of “everything is fine!” memes,14053,2023-04-25,1380
@WallStreetSilv @alifarhat79 Literally,6736,2023-04-25,384
@JonErlichman WALL-E has decent runway,5869,2023-04-25,219
